date,day_of_the_month,day_of_the_year,year,hour_num,words,type
2015-08-28,28,240,2015,14.22,22,firstDay
2015-08-28,28,240,2015,14.27,33,firstDay
2015-08-28,28,240,2015,14.28,62,firstDay
2015-08-28,28,240,2015,15.65,62,firstDay
2015-08-28,28,240,2015,15.67,12,firstDay
2015-08-28,28,240,2015,15.77,69,firstDay
2015-08-28,28,240,2015,15.78,37,firstDay
2015-08-28,28,240,2015,15.82,45,firstDay
2015-08-28,28,240,2015,15.92,114,firstDay
2015-08-28,28,240,2015,15.93,35,firstDay
2015-08-28,28,240,2015,15.95,39,firstDay
2015-08-28,28,240,2015,15.97,135,firstDay
2015-08-28,28,240,2015,16.02,47,firstDay
2015-08-28,28,240,2015,16.05,121,firstDay
2015-08-28,28,240,2015,16.13,83,firstDay
2015-08-28,28,240,2015,16.58,69,firstDay
2015-08-28,28,240,2015,16.63,81,firstDay
2015-08-28,28,240,2015,17.3,97,firstDay
2015-08-28,28,240,2015,17.48,57,firstDay
2015-08-28,28,240,2015,19.78,116,firstDay
2015-08-28,28,240,2015,20.23,76,firstDay
2015-08-28,28,240,2015,20.25,140,firstDay
2015-08-28,28,240,2015,20.27,155,firstDay
2015-08-28,28,240,2015,20.3,35,firstDay
2015-08-28,28,240,2015,20.32,145,firstDay
2015-08-28,28,240,2015,20.38,25,firstDay
2015-08-28,28,240,2015,20.42,111,firstDay
2015-08-28,28,240,2015,20.5,114,firstDay
2015-08-28,28,240,2015,20.87,32,firstDay
2015-08-28,28,240,2015,20.9,9,firstDay
2015-08-28,28,240,2015,21.03,28,firstDay
2015-08-28,28,240,2015,21.05,66,firstDay
2015-08-28,28,240,2015,21.07,45,firstDay
2015-08-28,28,240,2015,21.08,32,firstDay
2015-08-28,28,240,2015,21.1,28,firstDay
2015-08-28,28,240,2015,21.12,46,firstDay
2015-08-28,28,240,2015,21.13,90,firstDay
2015-08-28,28,240,2015,21.23,99,firstDay
2015-08-28,28,240,2015,21.25,54,firstDay
2015-08-28,28,240,2015,21.27,57,firstDay
2015-08-28,28,240,2015,21.28,33,firstDay
2015-08-28,28,240,2015,21.3,165,firstDay
2015-08-28,28,240,2015,21.32,88,firstDay
2015-08-28,28,240,2015,21.33,53,firstDay
2015-08-28,28,240,2015,21.35,42,firstDay
2015-08-28,28,240,2015,21.38,85,firstDay
2015-08-28,28,240,2015,21.42,30,firstDay
2015-08-28,28,240,2015,21.43,48,firstDay
2015-08-28,28,240,2015,21.47,99,firstDay
2015-08-28,28,240,2015,21.65,71,firstDay
2015-08-28,28,240,2015,21.67,78,firstDay
2015-08-28,28,240,2015,21.73,71,firstDay
2015-08-28,28,240,2015,21.77,143,firstDay
2015-08-28,28,240,2015,21.8,35,firstDay
2015-08-28,28,240,2015,21.83,56,firstDay
2015-08-28,28,240,2015,21.88,73,firstDay
2015-08-28,28,240,2015,21.9,83,firstDay
2015-08-28,28,240,2015,21.92,105,firstDay
2015-08-28,28,240,2015,22.05,162,firstDay
2015-08-28,28,240,2015,22.1,33,firstDay
2015-08-28,28,240,2015,22.12,45,firstDay
2015-08-28,28,240,2015,22.13,21,firstDay
2015-08-28,28,240,2015,22.35,93,firstDay
2015-08-28,28,240,2015,22.38,79,firstDay
2015-08-28,28,240,2015,22.4,172,firstDay
2015-08-28,28,240,2015,22.42,68,firstDay
2015-08-28,28,240,2015,22.45,63,firstDay
2015-08-28,28,240,2015,22.47,143,firstDay
2015-08-28,28,240,2015,22.48,140,firstDay
2015-08-28,28,240,2015,22.52,21,firstDay
2015-08-28,28,240,2015,22.53,202,firstDay
2015-08-28,28,240,2015,22.55,151,firstDay
2015-08-28,28,240,2015,22.57,54,firstDay
2015-08-28,28,240,2015,22.58,70,firstDay
2015-08-28,28,240,2015,22.6,217,firstDay
2015-08-28,28,240,2015,22.67,82,firstDay
2015-08-28,28,240,2015,22.75,37,firstDay
2015-08-28,28,240,2015,22.83,34,firstDay
2015-08-28,28,240,2015,22.87,39,firstDay
2015-08-28,28,240,2015,22.88,138,firstDay
2015-08-28,28,240,2015,22.9,55,firstDay
2015-08-28,28,240,2015,22.95,116,firstDay
2015-08-28,28,240,2015,23,36,firstDay
2015-08-28,28,240,2015,23.02,98,firstDay
2015-08-28,28,240,2015,23.03,50,firstDay
2015-08-28,28,240,2015,23.12,12,firstDay
2015-08-28,28,240,2015,23.13,92,firstDay
2015-08-28,28,240,2015,23.17,75,firstDay
2015-08-28,28,240,2015,23.18,43,firstDay
2015-08-28,28,240,2015,23.2,38,firstDay
2015-08-28,28,240,2015,23.27,76,firstDay
2015-08-28,28,240,2015,23.28,118,firstDay
2015-08-28,28,240,2015,23.3,21,firstDay
2015-08-28,28,240,2015,23.33,8,firstDay
2015-08-28,28,240,2015,23.43,16,firstDay
2015-08-28,28,240,2015,23.45,74,firstDay
2015-08-28,28,240,2015,23.6,24,firstDay
2015-08-28,28,240,2015,23.67,80,firstDay
2015-08-28,28,240,2015,23.7,61,firstDay
2015-08-28,28,240,2015,23.72,24,firstDay
2015-08-28,28,240,2015,23.73,109,firstDay
2015-08-28,28,240,2015,23.75,210,firstDay
2015-08-28,28,240,2015,23.82,86,firstDay
2015-08-28,28,240,2015,23.85,33,firstDay
2015-08-28,28,240,2015,23.9,87,firstDay
2015-08-28,28,240,2015,23.92,37,firstDay
2015-08-29,29,241,2015,17.73,116,topDay
2015-08-29,29,241,2015,22.17,149,topDay
2015-08-29,29,241,2015,22.98,98,topDay
2015-08-29,29,241,2015,23.27,113,topDay
2015-08-29,29,241,2015,23.45,102,topDay
2015-08-29,29,241,2015,23.52,108,topDay
2015-08-29,29,241,2015,23.58,109,topDay
2015-08-29,29,241,2015,23.6,97,topDay
2015-08-29,29,241,2015,23.62,153,topDay
2015-08-29,29,241,2015,23.7,105,topDay
2015-08-29,30,242,2015,24.4,214,topDay
2015-08-29,30,242,2015,24.43,105,topDay
2015-08-29,30,242,2015,24.48,137,topDay
2015-08-29,30,242,2015,24.5,123,topDay
2015-08-29,30,242,2015,24.53,166,topDay
2015-08-29,30,242,2015,24.58,160,topDay
2015-08-29,30,242,2015,24.78,119,topDay
2015-08-29,30,242,2015,24.88,148,topDay
2015-08-29,30,242,2015,24.98,127,topDay
2015-08-29,30,242,2015,25.1,118,topDay
2015-08-29,29,241,2015,16.98,23,firstDay
2015-08-29,29,241,2015,17.02,16,firstDay
2015-08-29,29,241,2015,17.18,18,firstDay
2015-08-29,29,241,2015,17.73,116,firstDay
2015-08-29,29,241,2015,20,43,firstDay
2015-08-29,29,241,2015,20.3,45,firstDay
2015-08-29,29,241,2015,22.17,149,firstDay
2015-08-29,29,241,2015,22.22,13,firstDay
2015-08-29,29,241,2015,22.23,15,firstDay
2015-08-29,29,241,2015,22.98,98,firstDay
2015-08-29,29,241,2015,23.17,63,firstDay
2015-08-29,29,241,2015,23.25,39,firstDay
2015-08-29,29,241,2015,23.27,113,firstDay
2015-08-29,29,241,2015,23.28,34,firstDay
2015-08-29,29,241,2015,23.43,53,firstDay
2015-08-29,29,241,2015,23.45,102,firstDay
2015-08-29,29,241,2015,23.48,93,firstDay
2015-08-29,29,241,2015,23.5,17,firstDay
2015-08-29,29,241,2015,23.52,108,firstDay
2015-08-29,29,241,2015,23.58,109,firstDay
2015-08-29,29,241,2015,23.6,97,firstDay
